Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Cost per item,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
brazil-2026-away-shirt,Brazil 2026 Away Shirt,"<p>The Brazil 2026 away shirt. Available in fan and player versions, sizes S to 4XL.</p><p>Name and number printed to order (+₪39), adding two days to dispatch. Delivery is 12 to 25 days, tracked.</p>",National Teams,National Team Jersey,"National Teams, 2026, Away, Brazil, International, Football, Soccer, Jersey",FALSE,Size,S,Version,Fan,BRAZIL-2026-AWAY-SHIRT-S-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,https://raw.githubusercontent.com/OmarHawari2/kitverse-images/main/images/452e231b.jpg,1,Brazil 2026 Away Shirt,Brazil 2026 Away Shirt,"Shop the Brazil 2026 Away Shirt. Fan and player versions, sizes S-4XL, name and number printed to order.",draft
brazil-2026-away-shirt,,,,,,,Size,S,Version,Player,BRAZIL-2026-AWAY-SHIRT-S-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,M,Version,Fan,BRAZIL-2026-AWAY-SHIRT-M-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,M,Version,Player,BRAZIL-2026-AWAY-SHIRT-M-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,L,Version,Fan,BRAZIL-2026-AWAY-SHIRT-L-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,L,Version,Player,BRAZIL-2026-AWAY-SHIRT-L-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,XL,Version,Fan,BRAZIL-2026-AWAY-SHIRT-XL-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,XL,Version,Player,BRAZIL-2026-AWAY-SHIRT-XL-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,XXL,Version,Fan,BRAZIL-2026-AWAY-SHIRT-XXL-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,XXL,Version,Player,BRAZIL-2026-AWAY-SHIRT-XXL-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,3XL,Version,Fan,BRAZIL-2026-AWAY-SHIRT-3XL-FAN,200,,continue,manual,184.00,,72.72,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,3XL,Version,Player,BRAZIL-2026-AWAY-SHIRT-3XL-PV,200,,continue,manual,234.00,,78.78,TRUE,TRUE,,,,,,
brazil-2026-away-shirt,,,,,,,Size,4XL,Version,Fan,BRAZIL-2026-AWAY-SHIRT-4XL-FAN,200,,continue,manual,184.00,,72.72,TRUE,TRUE,,,,,,
