current	Brentford	2026/27	Home	169.00	219.00			Brentford 2026/27 Home Shirt	brentford-2026-27-home-shirt	852e099101	0	26-27 Brentford Home Cheap Soccer Jerseys Yupoo
current	Brighton Hove Albion	2026/27	Away	169.00	219.00			Brighton Hove Albion 2026/27 Away Shirt	brighton-hove-albion-2026-27-away-shirt	33a18c564d	0	26-27 Brighton Away Cheap Soccer Jerseys Yupoo
current	Burnley	2026/27	Home	169.00	219.00			Burnley 2026/27 Home Shirt	burnley-2026-27-home-shirt	1387453cee	0	26-27 Burnley Home Cheap Soccer Jerseys Yupoo
current	Cagliari	2026/27	Away	169.00	219.00			Cagliari 2026/27 Away Shirt	cagliari-2026-27-away-shirt	a2f4338bee	0	26-27 Cagliari Away Cheap Soccer Jerseys Yupoo
national	Cameroon	2025/26	Away	169.00	219.00			Cameroon 2025/26 Away Shirt	cameroon-2025-26-away-shirt	406e531f	2	25-26 Cameroon Away Player Version Cheap Soccer Jerseys Yupoo
national	Cameroon	2025/26	Home	169.00	219.00			Cameroon 2025/26 Home Shirt	cameroon-2025-26-home-shirt	fc901112	2	25-26 Cameroon Home Player Version Cheap Soccer Jerseys Yupoo
national	Cameroon	2025/26	Third	169.00	219.00			Cameroon 2025/26 Third Shirt	cameroon-2025-26-third-shirt	7a709b00	2	25-26 Cameroon Third Player Version Cheap Soccer Jerseys Yupoo
national	Canada	2026	Home	169.00	219.00			Canada 2026 Home Shirt	canada-2026-home-shirt	564b7461	12	Mens Canada 2026 World Cup Home Jersey Player Version
national	Canada	2026/27	Away	169.00	219.00			Canada 2026/27 Away Shirt	canada-2026-27-away-shirt	ef6d332692	2	26-27 Canada Away Cheap Soccer Jerseys Yupoo
previous	Celta Vigo	2025/26	Home	129.00	169.00	169.00	219.00	Celta Vigo 2025/26 Home Shirt	celta-vigo-2025-26-home-shirt	94b65cef	2	25-26 Celta Cheap Soccer Jerseys Yupoo
current	Celta Vigo	2026/27	Away	169.00	219.00			Celta Vigo 2026/27 Away Shirt	celta-vigo-2026-27-away-shirt	e06bde1e57	0	26-27 Celta Away Cheap Soccer Jerseys Yupoo
current	Celta Vigo	2026/27	Home	169.00	219.00			Celta Vigo 2026/27 Home Shirt	celta-vigo-2026-27-home-shirt	95ee3a0f59	2	26-27 Celta Home Cheap Soccer Jerseys Yupoo
current	Celta Vigo	2026/27	Third	169.00	219.00			Celta Vigo 2026/27 Third Shirt	celta-vigo-2026-27-third-shirt	5688f65982	0	26-27 Celta Third Cheap Soccer Jerseys Yupoo
previous	Chelsea	2025/26	Away	129.00	169.00	169.00	219.00	Chelsea 2025/26 Away Shirt	chelsea-2025-26-away-shirt	279c622b	5	25-26 Chelsea Away Player Version Cheap Soccer Jerseys Yupoo
previous	Chelsea	2025/26	Home	129.00	169.00	169.00	219.00	Chelsea 2025/26 Home Shirt	chelsea-2025-26-home-shirt	5213aeb8	8	25/26 Chelsea Home S-4XL
current	Chelsea	2026/27	Home	169.00	219.00			Chelsea 2026/27 Home Shirt	chelsea-2026-27-home-shirt	0fd869856f	0	26-27 Chelsea Home Cheap Soccer Jerseys Yupoo
current	Chelsea	2026/27	Third	169.00	219.00			Chelsea 2026/27 Third Shirt	chelsea-2026-27-third-shirt	aa1b112974	0	26-27 Chelsea Third Cheap Soccer Jerseys Yupoo
